algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, Pancakes16, 5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4 , 8, 3599314016, 207.869965, 17315218.000000
dfid, Pancakes16, 3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15 , 4, 442599, 0.023341, 18962298.000000
dfid, Pancakes16, 12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15 , 2, 635, 0.000034, 18676470.000000
dfid, Pancakes16, 6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4 , 4, 582287, 0.035825, 16253650.000000
dfid, Pancakes16, 15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12 , 4, 658915, 0.030440, 21646352.000000
dfid, Pancakes16, 12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15 , na, na, na, na
dfid, Pancakes16, 11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0 , 4, 278041, 0.013789, 20163972.000000
dfid, Pancakes16, 5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7 , na, na, na, na
dfid, Pancakes16, 4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15 , 4, 205452, 0.013901, 14779656.000000
dfid, Pancakes16, 6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15 , 2, 1314, 0.000090, 14600000.000000
dfid, Pancakes16, 2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11 , na, na, na, na
dfid, Pancakes16, 4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15 , 6, 20805139, 1.324852, 15703747.000000
dfid, Pancakes16, 6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15 , 3, 26621, 0.001703, 15631826.000000
dfid, Pancakes16, 4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15 , na, na, na, na
dfid, Pancakes16, 7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13 , na, na, na, na
dfid, Pancakes16, 0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15 , 6, 40896981, 2.026770, 20178400.000000
dfid, Pancakes16, 7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1 , na, na, na, na
dfid, Pancakes16, 5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15 , 2, 305, 0.000023, 13260869.000000
dfid, Pancakes16, 7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15 , 2, 560, 0.000038, 14736843.000000
dfid, Pancakes16, 6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15 , 2, 1329, 0.000090, 14766666.000000
dfid, Pancakes16, 1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15 , 2, 1148, 0.000078, 14717949.000000
dfid, Pancakes16, 13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15 , 3, 39763, 0.002631, 15113265.000000
dfid, Pancakes16, 15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5 , na, na, na, na
dfid, Pancakes16, 4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12 , na, na, na, na
dfid, Pancakes16, 14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0 , na, na, na, na
dfid, Pancakes16, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 , 0, 1, 0.000000, inf
dfid, Pancakes16, 13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4 , na, na, na, na
dfid, Pancakes16, 10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15 , 2, 2233, 0.000150, 14886666.000000
dfid, Pancakes16, 14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15 , na, na, na, na
dfid, Pancakes16, 0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15 , 4, 561504, 0.024029, 23367764.000000
